Ticker;Date;Field Name;Value
MSFT;04-01-21;Close Price;217,690002
MSFT;05-01-21;Close Price;217,899994
MSFT;06-01-21;Close Price;212,25
MSFT;07-01-21;Close Price;218,289993
MSFT;08-01-21;Close Price;219,619995
MSFT;11-01-21;Close Price;217,490005
MSFT;12-01-21;Close Price;214,929993
MSFT;13-01-21;Close Price;216,339996
MSFT;14-01-21;Close Price;213,020004
MSFT;15-01-21;Close Price;212,649994
MSFT;19-01-21;Close Price;216,440002
MSFT;20-01-21;Close Price;224,339996
MSFT;21-01-21;Close Price;224,970001
MSFT;22-01-21;Close Price;225,949997
MSFT;25-01-21;Close Price;229,529999
MSFT;26-01-21;Close Price;232,330002
MSFT;27-01-21;Close Price;232,899994
MSFT;28-01-21;Close Price;238,929993
MSFT;29-01-21;Close Price;231,960007
MSFT;01-02-21;Close Price;239,649994
MSFT;02-02-21;Close Price;239,509995
MSFT;03-02-21;Close Price;243
MSFT;04-02-21;Close Price;242,009995
MSFT;05-02-21;Close Price;242,199997
MSFT;08-02-21;Close Price;242,470001
MSFT;09-02-21;Close Price;243,770004
MSFT;10-02-21;Close Price;242,820007
MSFT;11-02-21;Close Price;244,490005
MSFT;12-02-21;Close Price;244,990005
MSFT;16-02-21;Close Price;243,699997
MSFT;17-02-21;Close Price;244,199997
MSFT;18-02-21;Close Price;243,789993
MSFT;19-02-21;Close Price;240,970001
MSFT;22-02-21;Close Price;234,509995
MSFT;23-02-21;Close Price;233,270004
MSFT;24-02-21;Close Price;234,550003
MSFT;25-02-21;Close Price;228,990005
MSFT;26-02-21;Close Price;232,380005
MSFT;01-03-21;Close Price;236,940002
MSFT;02-03-21;Close Price;233,869995
MSFT;03-03-21;Close Price;227,559998
MSFT;04-03-21;Close Price;226,729996
MSFT;05-03-21;Close Price;231,600006
MSFT;08-03-21;Close Price;227,389999
MSFT;09-03-21;Close Price;233,779999
MSFT;10-03-21;Close Price;232,419998
MSFT;11-03-21;Close Price;237,130005
MSFT;12-03-21;Close Price;235,75
MSFT;15-03-21;Close Price;234,809998
MSFT;16-03-21;Close Price;237,710007
MSFT;17-03-21;Close Price;237,039993
MSFT;18-03-21;Close Price;230,720001
MSFT;19-03-21;Close Price;230,350006
MSFT;22-03-21;Close Price;235,990005
MSFT;23-03-21;Close Price;237,580002
MSFT;24-03-21;Close Price;235,460007
MSFT;25-03-21;Close Price;232,339996
MSFT;26-03-21;Close Price;236,479996
MSFT;29-03-21;Close Price;235,240005
MSFT;30-03-21;Close Price;231,850006
MSFT;31-03-21;Close Price;235,770004
MSFT;01-04-21;Close Price;242,350006
MSFT;05-04-21;Close Price;249,070007
MSFT;06-04-21;Close Price;247,860001
MSFT;07-04-21;Close Price;249,899994
MSFT;08-04-21;Close Price;253,25
MSFT;09-04-21;Close Price;255,850006
MSFT;12-04-21;Close Price;255,910004
MSFT;13-04-21;Close Price;258,48999
MSFT;14-04-21;Close Price;255,589996
MSFT;15-04-21;Close Price;259,5
MSFT;16-04-21;Close Price;260,73999
MSFT;19-04-21;Close Price;258,73999
MSFT;20-04-21;Close Price;258,26001
MSFT;21-04-21;Close Price;260,579987
MSFT;22-04-21;Close Price;257,170013
MSFT;23-04-21;Close Price;261,149994
MSFT;26-04-21;Close Price;261,549988
MSFT;27-04-21;Close Price;261,970001
MSFT;28-04-21;Close Price;254,559998
MSFT;29-04-21;Close Price;252,509995
MSFT;30-04-21;Close Price;252,179993
